numero;titre;hook;script;cta;format;semaine;jour
1;L'IA que tu as déjà sans le savoir;"Ton entreprise paie Copilot depuis 6 mois. Personne ne sait s'en servir.";"Si ton entreprise est sur Microsoft 365 — et 80% des boîtes françaises le sont — tu as déjà l'IA dans ton ordinateur. Word. Excel. Teams. Outlook. Copilot est là. Intégré. Payé. Le problème ? Microsoft a déployé l'outil. Personne n'a formé les managers. Résultat : tes équipes utilisent Word comme en 2015, pendant que la concurrence automatise ses comptes-rendus, ses rapports, ses emails clients. Ce n'est pas un problème technologique. C'est un problème de formation. Et ça, c'est exactement ce qu'on règle.";"Tu veux savoir ce que Copilot peut faire pour toi concrètement ? Commente COPILOT.";Texte sur écran noir + voix off;1;Lundi
2;Le prompt c'est déjà dépassé;"Apprendre le prompt en 2026, c'est apprendre à conduire quand tout le monde passe aux voitures autonomes.";"Je vais te dire un truc que personne ne dit dans les formations IA. Le prompt — l'art de bien formuler sa question à ChatGPT — c'est la couche 1. C'est utile. C'est nécessaire. Mais c'est plus suffisant. En 2026, les entreprises qui prennent de l'avance ne demandent plus à l'IA de faire une tâche. Elles construisent des systèmes qui font les tâches à leur place. En boucle. Automatiquement. C'est la couche 2 : le Loop Engineering. Et la couche 3 ? Des équipes entières d'agents IA, organisés comme un organigramme. En tant que manager, tu n'as pas besoin de coder ça. Mais tu dois comprendre comment ça marche pour ne pas te retrouver à gérer une équipe dont tu ne comprends plus le travail. Je t'explique tout ça dans ma formation. Lien en bio.";"Sauve ce reel. Dans 6 mois tu comprendras pourquoi.";Face caméra ton direct;2;Lundi
3;Le nouveau poste qui va exploser;"Le poste que toutes les entreprises cherchent en ce moment sans savoir comment l'appeler.";"Il s'appelle Référent IA. AI Champion. Coordinateur IA. Le titre change. La mission est toujours la même. C'est quelqu'un dans ton équipe — souvent un manager opérationnel curieux — qui devient le pont entre l'IA et le reste de l'entreprise. Il teste les outils. Il trouve les cas d'usage qui font gagner du temps. Il forme ses collègues, pas en cours magistral, mais en partage quotidien. Microsoft l'a fait avec ses Copilot Champions. Résultat : 11 000 personnes formées alors qu'ils en attendaient 500. OpenAI l'a fait dans ses déploiements enterprise. McKinsey l'a fait sur 43 000 collaborateurs. La méthode fonctionne. Le problème en France : personne ne forme encore spécifiquement ces profils. C'est ce vide-là qu'on est en train de combler.";"Tu penses à quelqu'un dans ton équipe en lisant ça ? Tague-le.";Texte animé + voix off;3;Lundi
4;ChatGPT vs Mistral la vraie question;"ChatGPT envoie tes données aux États-Unis. Mistral les garde en France. Ton DSI a choisi — tu sais pourquoi ?";"Quand tu tapes quelque chose dans ChatGPT depuis ton bureau, où vont ces données ? Aux États-Unis. Sur les serveurs d'OpenAI. Soumises au CLOUD Act américain. Ce qui veut dire que théoriquement, le gouvernement américain peut y accéder. Pour un mail personnel : pas grave. Pour une proposition commerciale confidentielle, un plan RH, des données clients : c'est un autre sujet. C'est pour ça que des milliers d'entreprises françaises se tournent vers Mistral. C'est une boîte française. Les données restent en Europe. C'est conforme au RGPD sans se battre. La BNP teste ça. Des ministères aussi. En tant que manager, ce n'est pas toi qui choisis l'outil. Mais c'est toi qui dois comprendre pourquoi ton entreprise a fait ce choix. Et surtout : comment l'utiliser efficacement.";"Ton entreprise utilise lequel ? Réponds en commentaire.";Face caméra tableau blanc;1;Vendredi
5;Le risque que personne ne te dit;"Un agent IA qui déraille ne fait pas une erreur. Il en fait 500 en 3 secondes.";"Avec ChatGPT, si tu lui donnes une mauvaise instruction, il te donne une mauvaise réponse. Une erreur. Corrigeable. Pas grave. Avec un agent IA en boucle autonome — et c'est ce que déploient les entreprises en 2026 — c'est différent. L'agent reçoit un objectif. Il agit. Vérifie. Recommence. Seul. Si l'objectif était mal défini ou si l'agent déraille, il peut envoyer 200 emails, modifier des données, prendre des décisions en cascade... Avant que quelqu'un s'en aperçoive. C'est pour ça que l'EU AI Act exige qu'un humain soit entraîné à superviser ces systèmes. Pas juste cliquer valider. Vraiment superviser. Avec des critères. Avec des alertes. Avec un protocole. Ce rôle — le superviseur humain-dans-la-boucle — c'est un nouveau métier. Et aujourd'hui, dans 87% des entreprises, ce poste n'existe pas vraiment.";"Partage ça à ton DSI ou ton DRH. Ils ont besoin de le voir.";Texte choc fond sombre + voix off grave;3;Mercredi
6;La règle des 5 heures BCG;"BCG a étudié 13 000 professionnels. La différence entre ceux qui progressent et les autres tient à un seul chiffre.";"5 heures par semaine. C'est le seuil identifié par BCG sur 13 000 professionnels dans 15 pays. En dessous de 5 heures d'exposition à l'IA par semaine : 67% voient des gains. Au-dessus de 5 heures : 79%. 12 points d'écart. Pas grâce à un meilleur outil. Pas grâce à plus de budget. Juste grâce à la fréquence. Et la combinaison qui marche, toujours selon BCG : instruction formelle + pratique sur tes vrais dossiers + coaching sur tes blocages. Aucune de ces trois choses seule ne suffit. C'est pour ça qu'une formation d'une journée ne change rien sur le long terme. Et c'est pour ça que notre programme dure 12 semaines.";"Combien d'heures par semaine tu utilises l'IA ? Honnêtement. Commente.";Données à l'écran + voix off;2;Mercredi
7;Shadow AI le problème caché;"59% de tes collaborateurs utilisent l'IA en cachette. Et toi tu es responsable de ce qu'ils font avec.";"Je vais te parler d'un truc dont personne ne parle en réunion CODIR. Dans ton équipe, en ce moment, des gens utilisent ChatGPT avec leurs comptes perso pour faire leur travail. Ils y collent des données clients. Des contrats. Des infos RH. Pas par malveillance. Par efficacité. Parce que ça marche. Le problème : tu n'es pas au courant. Et légalement... tu es responsable. La CNIL est claire là-dessus. L'argument je ne savais pas n'est plus une défense recevable. Et IBM a documenté que 20% des violations de données en 2025 venaient du Shadow AI. Coût moyen d'une violation : 4,6 millions de dollars. La solution n'est pas d'interdire. C'est de former, de cadrer, de donner des outils approuvés. Et ça commence par une charte d'usage IA. Simple. En français. Opérationnelle. Je t'explique comment en faire une en 1h dans ma formation.";"Ton entreprise a une charte IA ? Oui / Non en commentaire.";Face caméra ton confidentiel;1;Mercredi
8;Le CAIO arrive en France;"76% des grandes entreprises mondiales ont déjà un Chief AI Officer. En France, ce poste n'existe presque pas encore.";"2023 : le prompt engineer. 2024 : le data analyst IA. 2025 : le AI product manager. 2026 : le CAIO — Chief AI Officer. Dans les grandes boîtes américaines, ce poste existe déjà dans 3 sur 4. En France, il est souvent absorbé par le DSI ou le CDO. Ou il n'existe pas. Le CAIO, c'est celui qui décide quelle IA déployer, comment gouverner les agents, comment assurer la conformité AI Act, comment mesurer le ROI. Ce n'est pas un technicien. C'est un manager qui comprend à la fois la stratégie, le droit, les risques et les usages opérationnels. Ce profil va exploser en France dans les 18 prochains mois. La question : est-ce que tu te positionnes pour ça — ou tu attends que quelqu'un d'autre prenne ce rôle dans ta boîte ?";"Sauvegarde ce reel. Relis-le dans 1 an.";Texte animé rythme rapide;3;Vendredi
9;Mistral pour les nuls version manager;"Mistral c'est quoi ? La réponse en 60 secondes pour que tu puisses en parler en réunion sans te planter.";"Mistral AI. Startup française. Fondée en 2023. Valorisée à plusieurs milliards. Ce qu'ils font : des modèles d'IA comparables à GPT-4, mais hébergés en Europe. Pourquoi ça compte pour toi en tant que manager : 1 — Tes données restent en France ou en Europe. Pas de CLOUD Act américain. 2 — C'est conforme RGPD par construction. Moins de bataille juridique. 3 — Le gouvernement français pousse Mistral pour les administrations et les secteurs sensibles. Leurs produits concrets : Le Chat, l'alternative française à ChatGPT. Mistral for Business, pour les entreprises qui veulent garder leurs données chez elles. Est-ce que c'est mieux que ChatGPT ? Techniquement, comparable. Est-ce que c'est plus sûr pour ton entreprise ? Souvent oui, selon ce que tu fais. Le vrai avantage : si ta boîte hésite entre les deux, tu peux maintenant argumenter intelligemment.";"Questions sur Mistral ? Pose-les en commentaire, je réponds à tout.";Pédagogique slides simples;4;Lundi
10;La méthode 70-20-10 appliquée à l'IA;"Les formations IA qui marchent vraiment ne ressemblent pas à des formations.";"Je vais te donner la méthode que Google, Microsoft et McKinsey utilisent pour former leurs managers à l'IA. Elle s'appelle le 70-20-10. 70% de ce que tu apprends vient de la pratique sur tes vrais dossiers. Pas des exercices fictifs. Ton vrai travail. 20% vient de tes pairs — les collègues qui partagent ce qui marche et ce qui marche pas. 10% seulement vient des cours formels. Ce que ça veut dire concrètement : une formation d'une journée en salle — ça couvre les 10%. Le reste disparaît en 72 heures. Ce qui marche : 15 minutes par jour sur tes vraies tâches. Un groupe WhatsApp avec 3 collègues qui testent avec toi. Un référent que tu peux appeler quand tu bloques. C'est ça qu'on a construit dans notre programme. Pas une journée dense que tu oublies le lundi suivant. 12 semaines. Ta réalité. Ton métier.";"Tu veux rejoindre la prochaine cohorte ? DM moi le mot MANAGER.";Face caméra décontracté;2;Vendredi
