nom_structure;type_structure;ville;temps_depuis_villetaneuse;niveau_minimum;domaines_formations_ia_marketing;intitule_poste_formateur;type_contrat;lien_source;contact_recrutement;remarques
IUT de Villetaneuse — Univ. Sorbonne Paris Nord;université / IUT;Villetaneuse;0;Bachelor (BUT);Techniques de commercialisation, marketing digital, e-business;;;https://www.univ-spn.fr/portfolio/iut-villetaneuse/;Non indiqué;Sur place — BUT TC avec parcours Marketing Digital & E-business en alternance
Sup Galilée (Institut Galilée) — Univ. Sorbonne Paris Nord;école d'ingénieur;Villetaneuse;0;Bachelor (Licence);Informatique, mathématiques appliquées, télécoms, réseaux;;;https://www.sup-galilee.univ-paris13.fr/;Non indiqué;Sur place — Bac+3 à Bac+5 en sciences et ingénierie
IUT de Saint-Denis — La Plaine — Univ. Sorbonne Paris Nord;université / IUT;La Plaine-Saint-Denis;~10;Bachelor (BUT);Marketing digital, e-business, entrepreneuriat, CRM;;;https://iutsd.univ-spn.fr/;Non indiqué;BUT TC parcours Marketing Digital & E-business — proche de Villetaneuse
Ascencia Business School (Collège de Paris);école de commerce;Aubervilliers;~15;Bachelor;Marketing communication, développement commercial, RH;;;https://www.ascencia-business-school.com/campus/saint-denis-aubervilliers/;Non indiqué;Groupe Collège de Paris — Masters Bac+5 en management et marketing
ISCOD — École Business & IT;école digitale / école en ligne;Saint-Denis;~20;Bachelor;Marketing & communication IA, marketing automation, transformation digitale, IA générative;;;https://www.iscod.fr/ecole-business-et-it-saint-denis-en-alternance;Non indiqué;100% alternance en ligne — Bachelor Marketing IA, MBA Marketing Digital IA, Mastère Transformation Digitale & IA
Excellence Business School;école de commerce;Épinay-sur-Seine;~15;Bachelor;Marketing, commerce, ingénierie commerciale;;;https://www.excellence-bs.com/;Non indiqué;Bachelor Commerce & Marketing hybride (50% présentiel / 50% en ligne) — Master Bac+5
IMA Business School;école de commerce;Saint-Denis;~20;Bachelor;Commerce, management, marketing;;;https://ima-school.com/;Non indiqué;Bac à Bac+5 en alternance ou formation initiale
Campus Fonderie de l'Image;CFA (métiers du numérique);Bagnolet;~20;Bachelor;Communication visuelle & médias numériques, numérique créatif, animation;;;https://www.campusfonderiedelimage.org/;fonderiedelimage@gmail.com — 01 55 82 41 51;CFA des métiers de la communication numérique — Bachelor, Licence Pro, DN MADE
CFA Union — Site Saint-Denis;CFA;Saint-Denis;~15;Bachelor (BUT);Marketing digital, e-business, entrepreneuriat, CRM;;;https://site.cfa-union.org/formations/fiche/156;Non indiqué;BUT Techniques de Commercialisation parcours MDEE en apprentissage
ISCE Alternance;organisme de formation / CFA;Paris (antenne 93);~30;Bachelor;Commerce, management, marketing digital;;;https://isce-alternance.fr/formation-en-alternance-seine-saint-denis-93/;Non indiqué;98% d'insertion — Bachelor et Master en alternance
Collège de Paris (groupe);groupe d'écoles de commerce;Paris 1er;~35;Bachelor;Marketing digital, communication, IA marketing, growth, branding;;;https://www.collegedeparis.com;recrutement@collegedeparis.com — 01 48 78 73 00;Regroupe Ascencia, Digital College, PSTB, École Conte, EPB — formation continue disponible
Digital College (Collège de Paris);école digitale;Paris;~35;Bachelor;Marketing digital & IA, growth hacking, social media, content marketing;;;https://www.digital-college.fr/;Non indiqué;Bachelor Communication Marketing Digital & IA — proche des intitulés ciblés
Pigier Paris;école de commerce;Paris 19e;~30;Bachelor;Communication, webmarketing, marketing digital, MBA marketing;;;Formateur webmarketing / MBA Marketing Digital;Job dating / CDI;https://www.pigier.com/paris/formations-communication-marketing-digital;Non indiqué;Job dating formateurs organisé par l'école — opportunité concrète de recrutement
MyDigitalSchool;école digitale;Paris;~35;Bachelor;Marketing digital, chef de projet digital, webmarketing, MBA marketing digital;;;https://www.mydigitalschool.com/;Non indiqué;Modèle basé sur praticiens en exercice — candidature spontanée recommandée
IIM — Institut de l'Internet et du Multimédia;école digitale;La Défense / Paris;~35;Bachelor;Marketing & communication digitale, e-business, commerce digital;;;https://www.iim.fr/cursus/bachelor-marketing-communication-digitale/;Non indiqué;N°1 e-Business & Commerce Digital — intervenants professionnels — candidature spontanée
ISCOM;école de communication;Paris;~40;Bachelor;Communication, marketing digital, retail media, MBA marketing digital;;;https://www.iscom.fr/formation/bachelor-communication-marketing-digital;Non indiqué;Bachelor + MBA Marketing Digital E-Business — modèle avec alumni et pros — voir recrutement
ISEFAC;école de communication / digital;Paris;~35;Bachelor;Growth hacking, social media, marketing digital, IA (masterclasses);;;https://www.isefac.org/ecole-digital;Non indiqué;75%+ des formateurs sont des professionnels en activité — candidature spontanée
IFAG Paris;école de commerce;Paris;~35;Bachelor;Management, marketing, gestion d'activité;;;https://www.ifag.com/etudes/paris-bachelor-management;Non indiqué;Bachelor Responsable d'Activité — offres sur regionsjob.com et recrutement-cd.fr
Digital Campus;école digitale;Paris;~35;Bachelor;Marketing digital, influence, stratégie digitale, SEO/SEA, community management;;;https://www.digital-campus.fr/formation/bachelor-webmarketing;Non indiqué;Conférences pros, hackathons, projets clients — intervenants réguliers
ISTEC;école de commerce;Paris;~40;Bachelor;Marketing & communication digitale, marketing automation;;;https://istec.fr/programmes/bachelor-management/bachelor-management-marketing-digital-communication/;Non indiqué;Bachelor Marketing Digital en alternance — candidature spontanée
ESGCI;école de commerce;Paris;~40;Bachelor;Commerce, marketing, développement commercial;;;https://www.esgci.com/marketing-commerce;Non indiqué;Bachelor Commerce Marketing en initial ou apprentissage
Ynov Campus;école digitale;Paris (plusieurs campus);~35;Bachelor;Marketing & communication digitale, IA marketing, digital (RNCP niveau 6);;;https://www.ynov.com/formations/marketing-communication/bachelor-digital-ia-specialisation-marketing;Non indiqué;Bachelor Digital & IA — spécialisation marketing — proche des intitulés ciblés
CFA AFFIDA;CFA;Argenteuil (95);~25;Bachelor;Marketing digital & e-commerce, stratégie digitale;;;https://www.affida.fr/nos-formations/je-choisis-ma-formation-en-alternance/bachelor-marketing-digital-et-e-commerce;Non indiqué;Bachelor Marketing Digital & E-Commerce — rythme 1 semaine CFA / 3 semaines entreprise — rentrée septembre
CFA Union — Site Nanterre;CFA;Nanterre (92);~35;Bachelor (BUT);Marketing digital, e-business, CRM, entrepreneuriat;;;https://site.cfa-union.org/formations/fiche/139;Non indiqué;BUT Techniques de Commercialisation parcours MDEE — Marketing Digital & E-business
CFA de l'Université Paris Nanterre;CFA universitaire;Nanterre (92);~35;Bachelor;Information-communication, management, gestion;;;https://cfa.parisnanterre.fr/;Non indiqué;CFA adossé à l'université — Licences à Masters en apprentissage
Cnam / INTEC — CFA IDF;CFA / organisme de formation;Paris 3e;~35;Master (Bac+5);Marketing dans un monde digital, management, disciplines numériques;Chargé d'enseignement vacataire en disciplines numériques;Vacataire;https://cfa-idf.cnam.fr/formations/rechercher-par-discipline/master-marketing-dans-un-monde-digital-1179717.kjsp;https://intec.cnam.fr/recrutement-des-charges-d-enseignement-vacataires-et-intervenants-conferenciers-189438.kjsp;Recrutement vacataires permanent — Master Marketing digital et data en apprentissage
ISM — Institut Supérieur du Marketing;organisme de formation continue;Paris;~35;Bac+3 (formation continue);IA générative marketing, growth hacking, CRM, social media, marketing analytics;Formateur expert (200 intervenants actifs);Vacataire;https://www.ism.fr/;Non indiqué;10 000 pros formés/an — programme IA générative marketing (07-08/07/2026) — recrutement permanent
Efrei;école d'ingénieur;Villejuif (94);~45;Bachelor;Bachelor Marketing Digital & Communication, Bachelor Data Marketing et IA;Intervenant / formateur Bachelor Data & IA;Vacataire;https://www.efrei.fr/formation/bachelor-data-marketing-et-ia/;https://efrei.nous-recrutons.fr/offres-emploi/;Bachelor Data Marketing & IA (32 places/an) — portail recrutement actif
