numero;titre;hook_0_3s;script_complet;overlay_final;format;semaine;jour
1;L'IA payée que personne n'utilise;"Votre entreprise paie Copilot. Vos managers font encore leurs comptes rendus à la main.";"[ACCROCHE 0-3s, face caméra, ton posé] Votre entreprise paie Copilot. Vos managers font encore leurs comptes rendus à la main. [DIAGNOSTIC 3-10s] Ce n'est pas un problème d'outil. L'outil est là. Dans Word. Dans Teams. Dans Outlook. Déjà payé. Le problème, c'est que Microsoft a livré la technologie et personne n'a livré le mode d'emploi aux managers. [SOLUTION EN ACTION 10-25s, écran partagé] Regardez. Une réunion Teams d'une heure. Je demande à Copilot le compte rendu structuré avec les décisions et les actions. 40 secondes. Maintenant la vraie question : est-ce que je peux l'envoyer tel quel ? Non. Il manque le contexte de ce dossier, et cette action est attribuée à la mauvaise personne. C'est exactement ça, le travail du manager formé : 40 secondes de génération, 3 minutes de vérification, au lieu d'une heure de rédaction. [RÉSULTAT 25-30s] L'IA ne remplace pas votre jugement. Elle supprime la partie de votre travail qui n'en demandait pas.";"Demain : le réflexe qui évite 80% des erreurs Copilot";Face caméra + démo écran;1;Lundi
2;98 fois;"98 fois. Retenez ce chiffre.";"[ACCROCHE 0-3s, chiffre plein écran] 98 fois. Retenez ce chiffre. [DIAGNOSTIC 3-12s] Une équipe dont le manager utilise l'IA devant tout le monde adopte massivement. Une équipe dont le manager ne l'utilise jamais n'adopte pas. L'écart entre les deux ne se mesure pas en pourcents. Et pourtant, que font les entreprises ? Elles forment les collaborateurs et oublient le manager. Elles envoient une note de service et espèrent l'adoption. [PREUVE 12-22s] McKinsey a fait l'inverse avec ses 43 000 consultants. Les associés seniors utilisaient l'IA en réunion, devant leurs équipes, en direct. Pas en cachette. Une phrase est devenue un réflexe dans les couloirs : tu as demandé à l'outil ? Résultat : 75% d'adoption. Sans obligation. Sans note de service. [RÉSULTAT 22-28s] Vos équipes ne font pas ce que vous dites. Elles font ce que vous faites. Avec l'IA, c'est encore plus vrai.";"L'adoption commence par vous";Texte animé + face caméra;1;Mercredi
3;Ils utilisent l'IA en cachette;"La moitié de votre équipe utilise l'IA sans vous le dire. Je vais vous montrer pourquoi c'est votre meilleure nouvelle de l'année.";"[ACCROCHE 0-4s] La moitié de votre équipe utilise l'IA sans vous le dire. Et je vais vous montrer pourquoi c'est votre meilleure nouvelle de l'année. [DIAGNOSTIC 4-14s] 59% des salariés cachent leur usage de l'IA à leur manager. Pourquoi ils se cachent ? Pas par malice. Ils ont peur de passer pour des tricheurs. Peur qu'on leur dise que leur travail ne compte plus. Alors ils collent des données clients dans un ChatGPT personnel, sans cadre, sans protection. Et ça, légalement, c'est vous que ça expose. [BASCULE 14-24s] Maintenant regardez la même situation autrement. La moitié de votre équipe a déjà envie d'utiliser l'IA. Vous n'avez pas un problème d'adoption. Vous avez un problème de permission. Ceux qui se cachent sont vos futurs référents IA. Ils ont déjà les réflexes. Il leur manque le cadre. [RÉSULTAT 24-30s] Ne cherchez pas qui utilise l'IA en cachette pour le sanctionner. Cherchez-le pour en faire votre meilleur allié.";"Cette semaine : la question à poser en réunion d'équipe pour faire sortir le shadow AI";Face caméra ton confidentiel;2;Lundi
4;Le brief du stagiaire;"Vous briefez l'IA comme un stagiaire. C'est pour ça qu'elle vous déçoit.";"[ACCROCHE 0-3s] Vous briefez l'IA comme un stagiaire. C'est pour ça qu'elle vous déçoit. [DIAGNOSTIC 3-10s] Résume ce document. Fais-moi un mail. Propose des idées. Voilà comment la plupart des managers parlent à l'IA. Et ensuite ils concluent que l'IA, c'est décevant. Vous donneriez ce brief à un consultant que vous payez 2000 euros la journée ? Jamais. [DÉMO 10-25s, écran] Regardez la différence. Brief stagiaire : résume ce rapport. Résultat : une bouillie générique. Brief consultant : tu es directeur commercial, ce rapport part au CODIR jeudi, sors les 3 chiffres qui vont déclencher une décision et les 2 risques que personne ne voudra voir. Résultat : un document que je peux presque envoyer tel quel. Même outil. Même rapport. Même durée. Ce qui a changé : le contexte, l'enjeu, le destinataire. Exactement ce que vous faites déjà quand vous déléguez à un humain. [RÉSULTAT 25-30s] Vous savez déjà déléguer. Il vous reste à déléguer à l'IA comme vous déléguez à vos meilleurs collaborateurs.";"Enregistrez ce reel, le brief consultant est dedans";Démo écran + voix off;2;Mercredi
5;La visio à 25 millions;"Un directeur financier fait une visio avec son DG et ses collègues. Il exécute les virements demandés. 25 millions. Tout le monde dans la visio était faux.";"[ACCROCHE 0-5s, ton grave] Un directeur financier fait une visio avec son DG et ses collègues. Il exécute les virements demandés. 25 millions de dollars. Tout le monde dans cette visio était un deepfake. [DIAGNOSTIC 5-14s] Ce n'est pas de la science-fiction, c'est un cas documenté. Et voilà ce que ça change pour vous, manager : la voix de votre DG au téléphone n'est plus une preuve. Son visage en visio n'est plus une preuve. Les arnaques par IA ont explosé de 1200% en un an. Et vos équipes n'ont jamais été formées à ça, parce que les formations cyber datent d'avant les deepfakes. [SOLUTION 14-25s] Ce que les entreprises bien formées mettent en place, et que vous pouvez faire dès demain : un protocole de double vérification. Toute demande urgente de virement ou de données sensibles se confirme par un autre canal. Le mot de passe oral convenu entre dirigeants pour les vraies urgences. Et une équipe entraînée sur des simulations, pas sur un PowerPoint. [RÉSULTAT 25-30s] Face aux deepfakes, votre meilleure protection n'est pas un logiciel. C'est un réflexe d'équipe. Et un réflexe, ça se forme.";"Partagez à votre direction financière";Face caméra fond sombre;2;Vendredi
6;Votre fiche de poste de 2027;"Dans 18 mois, vous ne managerez plus une équipe. Vous managerez une équipe plus ses agents IA. Personne ne vous prépare à ça.";"[ACCROCHE 0-4s] Dans 18 mois, vous ne managerez plus une équipe. Vous managerez une équipe plus ses agents IA. Et personne ne vous prépare à ça. [DIAGNOSTIC 4-12s] En 2025, l'IA répondait à vos questions. En 2026, elle exécute des missions. Un agent IA reçoit un objectif, enchaîne les étapes tout seul, vérifie son travail, recommence si c'est raté. Gartner annonce que 40% des applications d'entreprise embarqueront ces agents d'ici fin 2026. L'année dernière, c'était 5%. [CE QUI CHANGE 12-24s] Concrètement, votre métier absorbe trois nouvelles responsabilités. Définir des objectifs à des agents, comme vous briefez un prestataire. Fixer les limites : ce que l'agent peut faire seul, ce qui exige votre validation. Et détecter quand un agent déraille, parce qu'un agent qui déraille ne fait pas une erreur, il en fait 500 en trois secondes. C'est du management. Pas de la technique. Personne ne vous demandera de coder. [RÉSULTAT 24-30s] Les managers qui comprennent ça maintenant auront 18 mois d'avance. Les autres découvriront leur nouvelle fiche de poste le jour où elle s'imposera à eux.";"Prochain reel : à quoi ressemble une équipe humains + agents IA";Face caméra rythme soutenu;3;Lundi
7;ChatGPT ou Mistral;"Votre DSI a interdit ChatGPT et imposé Mistral. Si vous ne savez pas expliquer pourquoi à votre équipe, ce reel est pour vous.";"[ACCROCHE 0-4s] Votre DSI a interdit ChatGPT et imposé Mistral. Si vous ne savez pas expliquer pourquoi à votre équipe, ce reel est pour vous. [DIAGNOSTIC 4-12s] Quand un collaborateur tape un texte dans ChatGPT, ces données partent sur des serveurs américains, soumis au droit américain. Pour rédiger un mail banal, aucun enjeu. Pour un contrat client, un dossier RH, des données de santé, c'est une autre histoire. Et le RGPD, lui, ne fait pas la différence entre je savais et je ne savais pas. [EXPLICATION 12-24s] Mistral, c'est le champion français de l'IA. Des modèles au niveau des américains, hébergés en Europe, conformes RGPD par construction. C'est pour ça que les banques le testent, que l'État le déploie dans les ministères, et que votre DSI l'a peut-être choisi. Ce n'est pas un caprice de souveraineté. C'est une décision de gestion du risque. Et un manager qui sait l'expliquer simplement à son équipe évite le contournement en douce vers ChatGPT perso, qui recrée exactement le risque qu'on voulait éliminer. [RÉSULTAT 24-30s] Vous n'avez pas choisi l'outil. Mais si vous savez expliquer le pourquoi, votre équipe respectera le cadre.";"Le choix d'un outil IA est une décision de risque, pas de mode";Pédagogique face caméra;3;Mercredi
8;La formation d'une journée;"Votre entreprise a payé une formation IA d'une journée. Dans 72 heures, vos équipes auront tout oublié. Ce n'est pas de leur faute.";"[ACCROCHE 0-4s] Votre entreprise a payé une formation IA d'une journée. Dans 72 heures, vos équipes auront tout oublié. Ce n'est pas de leur faute. [DIAGNOSTIC 4-14s] 41% des salariés formés à l'IA décrivent leur formation comme une session unique, trop courte, trop générique pour servir. Une journée dense, des exemples hors sol, retour au bureau, plus rien. Pendant ce temps, BCG a étudié 13 000 professionnels dans 15 pays pour trouver ce qui marche vraiment. [LA PREUVE 14-25s] Leur conclusion tient en trois conditions. La régularité : en dessous de 5 heures de pratique IA par semaine, les gains restent marginaux. La pratique sur les vrais dossiers, pas sur des cas d'école. Et le coaching quand on bloque. Instruction seule : échec. Pratique seule : échec. Les trois ensemble : 79% de gains de productivité mesurés. C'est exactement le modèle de Google et Microsoft en interne : des formats courts, répétés, sur les vraies tâches. [RÉSULTAT 25-30s] Une compétence ne s'installe pas en une journée. Elle s'installe en 15 minutes par jour sur votre vrai travail.";"Si votre prochaine formation IA dure une journée, posez une seule question : et après ?";Chiffres à l'écran + voix off;4;Lundi
9;Le référent IA;"Il existe déjà dans votre équipe. Il n'a pas de titre, pas de prime, pas de formation. Et c'est lui qui tient votre transformation IA.";"[ACCROCHE 0-4s] Il existe déjà dans votre équipe. Il n'a pas de titre, pas de prime, pas de formation. Et c'est lui qui tient votre transformation IA à bout de bras. [DIAGNOSTIC 4-13s] Dans chaque équipe, il y a cette personne. Celle qui a testé les outils avant tout le monde. Celle à qui on demande discrètement comment tu fais pour aller si vite. Les entreprises qui réussissent l'adoption ont toutes compris la même chose : cette personne est un poste, pas un hasard. [LA MÉTHODE 13-25s] Microsoft les appelle des champions. Un référent formé en avance pour une dizaine de collègues, qui embarque son équipe en pair à pair. Quand ils ont ouvert leur programme interne, ils attendaient 500 volontaires. 11 000 se sont inscrits. La demande existe partout, dans toutes les entreprises. Ce qui manque, c'est la reconnaissance du rôle : un temps dédié, une formation sérieuse, un vrai mandat. Pas juste le geek de service qu'on sollicite entre deux réunions. [RÉSULTAT 25-30s] Vous n'avez pas besoin de recruter votre référent IA. Vous avez besoin de le reconnaître. Il est déjà là.";"Vous l'avez identifié ? Il se reconnaîtra";Face caméra ton complice;4;Mercredi
10;Ce que l'IA ne verra jamais;"J'ai formé des centaines de managers à l'IA. Voici ce que je leur dis à la fin de chaque session.";"[ACCROCHE 0-4s] J'ai formé des centaines de managers à l'IA. Voici ce que je leur dis à la fin de chaque session. [CONSTAT 4-14s] L'IA rédige vos comptes rendus mieux que vous. Elle analyse vos tableaux plus vite que vous. Elle prépare vos réunions sans vous. Et c'est exactement pour ça que votre métier devient plus important, pas moins. Parce que ce qu'elle vient de libérer, c'est la partie de votre semaine qui vous empêchait de manager. [BASCULE 14-25s] Ce que l'IA ne verra jamais : le collaborateur qui décroche depuis trois semaines. La tension entre deux personnes que tout le monde évite de nommer. Le talent qui s'ennuie et qui partira si personne ne lui confie mieux. Un manager passe en moyenne 60% de son temps sur des tâches administratives. Imaginez ce que devient votre équipe si ces 60% redeviennent du temps humain. [RÉSULTAT 25-30s] La vraie question n'a jamais été : l'IA va-t-elle me remplacer ? La vraie question, c'est : qu'allez-vous faire du temps qu'elle vous rend ?";"L'IA fait le travail administratif. À vous le travail de manager";Face caméra ton sincère;4;Vendredi
